Einfache Kategorien,Schwierige Kategorien
"""Historisch""","""Mural"""
"""INRI""","""Anno / Erbaut"""
"""Hier sieht man ..""",Graffiti falsch geschrieben
"""Bitte Standort x nehmen""",Wort mit 12+ Buchstaben
"""Jung & Alt / Groß & Klein""",Alliteration (3+ Wörter)
"""Kein Privatgrundstück""",Wort in ALL CAPS
PokéStop-Variation,Ingress-Referenz
3x gleicher Text,Link in Zusatzinfo
Beschreibung mit einem Wort,Beleidigung in Zusatzinfo
Verweis auf die Kriterien,Denglisches Wort
Anführungszeichen im Text,Platzhalter-Texte
Rechtschreibungs-Edit,Emoji / Emoticon
Duplikat,Foto-Edits (3+ Bilder)
Haupt- & Zusatzbild gleich,Standort-Edits (3+ Standorte)
Spiegelung des Fotografen,Aktuelles Streetview (bis 1 Jahr)
Schlechte Ausrichtung,Foto mit Wasserzeichen
Rangezoomt,Bildschirmfoto/Screenshot
Nummernschild erkennbar,Geotag im Zusatzbild
Stromkasten,Finger vor der Linse
Aussichtspunkt,Foto aus Auto / Gebäude
Sportplatz,Fuß / Schuh im Bild
Vereinsheim,Lebendiges Tier im Bild
Spielplatz,Gedenkplakette (Straßenschild)
Tischtennisplatte,Baum verdeckt Wayspot
Feuerwehr(-Gedenkstein),Sonnenuhr
Baumarktlöwe,Gullydeckel
Stolperstein,Wegweiser zum Objekt
Generisches Straßenschild,Museum
Sitzbank,Litfaßsäule
Post-/Briefkasten,Maibaum
Gefallenendenkmal,Casino / Stripclub
Skulptur / Statue,Grenzstein
Kleingartenverein,Kaugummi-Automat
Wanderwegweiser,Objekt im Kreisel
Radknotenpunkt,Wayspot im Wasser
Schild eines Lehrpfads,Saisonale Deko
Schutzhütte / Hütte,
Objekt auf Friedhof / Friedhof,
Wandbild,
Herzlich Willkommen-Schild,
Geschäft/Supermarkt/Bäcker,
Restaurant/Gaststätte/Kneipe,
Fahrrad,
Kirche,
Naturmerkmal,
Wasserpumpe,
Insektenhotel,
